"Available periods", "Доступные периоды рассрочки"
"Description", "Описание"
"Description will be displayed after payment method in checkout", "Описание будет отображается после метода опдаты на странице покупки"
"Processing Order Status", "Статус ордера в случае успешной оплаты"
"Merchant Type", "Тип рассрочки"
"Extension:","Модуль:"
"Shipping", "Доставка"
"Enabled","Включен"
"Ident shop","Идентификатор магазина"
"Shop password","Пароль магазина"
"Check hash","Проверять HASH"
"Secret key","Секретный ключ"
"Sort order","Порядок сортировки"
"Payment failed. Pleas try again later.","Оплата не удалась."
"Payment is held successfully.","Оплата удалась."
"PayParts (payparts2.privatbank.ua) works only with UAH but not with (%s)","PayParts (payparts2.privatbank.ua) принимает только UAH, текущая валюта %s"
"PayParts (payparts2.privatbank.ua) payment system.","Платежная система PayParts (payparts2.privatbank.ua). Вы будете перенаправлены на сайт <a href="//payparts2.privatbank.ua/ipp/">payparts2.privatbank.ua</a> после подтверждения покупки."
"You will be redirected to the PayParts (payparts2.privatbank.ua) website in a few seconds","Вы будете перенаправлены на сайт PayParts (payparts2.privatbank.ua) через несколько секунд."
"Cannot add the item to shopping cart.","Невозможно добавить товар в корзину."
"Payment title","Название метода оплаты"
"Click here, if not redirected for 30 seconds.","Нажмите здесь, если в течении 30 секунд не произошла переадресация"
"Ordering amount of %s is pending approval on gateway.", "Заказ на сумму %s ожидает подтверждения на шлюзе"
"Order was canceled.", "Заказ был отменен."